index,url,ok,duration_ms,attempts,error_snippet
1,"https://jsonplaceholder.typicode.com/posts/1",OK,616,1,"{""userId"":1,""id"":1,""title"":""sunt aut facere repellat provident occaecati excepturi optio reprehenderit"",""body"":""quia et suscipit\nsuscipit recusandae consequuntur expedita et cum\nreprehenderit molest"
2,"https://jsonplaceholder.typicode.com/posts/2",OK,572,1,"{""userId"":1,""id"":2,""title"":""qui est esse"",""body"":""est rerum tempore vitae\nsequi sint nihil reprehenderit dolor beatae ea dolores neque\nfugiat blanditiis voluptate porro vel nihil molestiae ut reicie"
3,"https://jsonplaceholder.typicode.com/posts/3",OK,572,1,"{""userId"":1,""id"":3,""title"":""ea molestias quasi exercitationem repellat qui ipsa sit aut"",""body"":""et iusto sed quo iure\nvoluptatem occaecati omnis eligendi aut ad\nvoluptatem doloribus vel accusantium"
4,"https://jsonplaceholder.typicode.com/posts/4",OK,239,1,"{""userId"":1,""id"":4,""title"":""eum et est occaecati"",""body"":""ullam et saepe reiciendis voluptatem adipisci\nsit amet autem assumenda provident rerum culpa\nquis hic commodi nesciunt rem tenetur doloremqu"
5,"https://jsonplaceholder.typicode.com/posts/5",OK,257,1,"{""userId"":1,""id"":5,""title"":""nesciunt quas odio"",""body"":""repudiandae veniam quaerat sunt sed\nalias aut fugiat sit autem sed est\nvoluptatem omnis possimus esse voluptatibus quis\nest aut tenetur dolor"
6,"https://jsonplaceholder.typicode.com/posts/100",OK,284,1,"{""userId"":10,""id"":100,""title"":""at nam consequatur ea labore ea harum"",""body"":""cupiditate quo est a modi nesciunt soluta\nipsa voluptas error itaque dicta in\nautem qui minus magnam et distinctio eum\n"
7,"https://jsonplaceholder.typicode.com/invalid-url",ERR,176,3,"HTTP 404 - {}"
8,"https://httpstat.us/200?sleep=2000",ERR,875,3,"fetch failed"
9,"https://httpstat.us/503",ERR,824,3,"fetch failed"
10,"https://jsonplaceholder.typicode.com/comments?postId=1",OK,173,1,"[{""postId"":1,""id"":1,""name"":""id labore ex et quam laborum"",""email"":""Eliseo@gardner.biz"",""body"":""laudantium enim quasi est quidem magnam voluptate ipsam eos\ntempora quo necessitatibus\ndolor quam autem"
